okey,idx,start_sec,end_sec,duration_sec,kana
l17,1,1.162562,1.844313,0.681751,ようふく@0
l17,2,2.912187,3.705875,0.793688,セーター@1
l17,3,4.514875,5.648937,1.1340620000000001,ノートパソコン@4
l17,4,6.437188,6.933187,0.4959990000000003,バイク@1
l17,5,7.938187,8.679063,0.7408759999999992,おしるこ@0
l17,6,9.479375,10.131438,0.6520630000000001,てんぷら@0
l17,7,11.204,11.987125,0.7831250000000001,はつもうで@3
l17,8,12.95225,13.78525,0.8330000000000002,けんこう@0
l17,9,14.841375,15.614438,0.7730630000000005,れんあい@0
l17,10,16.388125,16.883,0.4948750000000004,ドラマ@1
l17,11,17.890563,18.455625,0.5650620000000011,あいて@3
l17,12,19.701438,20.3335,0.6320620000000012,こいびと@0
l17,13,21.864438,22.613375,0.7489370000000015,せんぱい@0
l17,14,23.347812,24.226437,0.8786249999999995,だんせい@0
l17,15,25.163187,26.213687,1.0504999999999995,がいこくじん@4
l17,16,26.746313,27.246875,0.5005619999999986,なつ@2
l17,17,28.46825,29.143563,0.6753129999999992,ことし@0
l17,18,30.318687,31.15275,0.8340630000000004,はじめます@4
l17,19,31.99525,33.091188,1.0959380000000039,れんらくします@6
l17,20,33.733438,35.927375,2.1939369999999982,ほしい@2
l17,21,36.84675,37.352438,0.5056879999999992,りっぱ@0
l17,22,38.397625,38.839063,0.4414380000000051,こんど@1
l17,23,40.061125,40.6705,0.609375,ぜひ@1
l17,24,41.886125,42.31075,0.4246249999999989,そろそろ@1
l17,25,43.526438,44.501875,0.9754369999999994,まず@1
l17,26,45.798063,46.358875,0.5608119999999985,ベートーベン@3
l17,27,48.214438,48.789313,0.5748749999999987,ショパン@1
l17,28,49.864812,50.622438,0.7576260000000019,こきゅう@1
l17,29,51.55675,52.177125,0.6203749999999957,ヨーロッパ@3
l17,30,53.152687,53.77675,0.6240629999999996,ホンコン@1
l17,31,55.201,55.901187,0.7001869999999997,スイス@1
