okey,idx,start_sec,end_sec,duration_sec,kana
l19,1,0.798063,1.541688,0.743625,しなもの@0
l19,2,2.359187,2.882188,0.5230010000000003,おさら@0
l19,3,3.621563,4.042313,0.42074999999999996,ごみ@2
l19,4,5.72675,6.497875,0.7711249999999996,しょしんしゃ@2
l19,5,7.830312,8.639938,0.8096260000000006,じょうきゅうしゃ@3
l19,6,9.728625,10.435813,0.7071880000000004,こうきゅう@0
l19,7,11.552437,12.63825,1.085813,じょうきゅうクラス@5
l19,8,13.67475,14.409625,0.7348750000000006,えいかいわ@3
l19,9,16.03125,16.563,0.5317499999999988,コース@1
l19,10,17.440938,17.989563,0.5486250000000013,スキー@2
l19,11,18.84225,19.503187,0.6609370000000006,レポート@2
l19,12,20.328,21.1275,0.7995000000000019,パスポート@3
l19,13,21.954438,22.347938,0.3934999999999995,のど@1
l19,14,23.415,24.15675,0.7417499999999997,さわります@4
l19,15,25.287125,25.990562,0.703437000000001,ぬぎます@3
l19,16,26.921312,27.605313,0.6840009999999985,ころびます@4
l19,17,28.493437,29.161687,0.6682500000000005,かわきます@4
l19,18,30.054313,30.704875,0.6505620000000008,なおります@4
l19,19,31.39975,32.238937,0.839186999999999,すべります@4
l19,20,32.762437,33.337688,0.5752510000000015,よびます@3
l19,21,34.345625,35.231063,0.8854380000000006,かえします@4
l19,22,35.983375,36.801938,0.8185629999999975,てつだいます@5
l19,23,37.522625,38.366687,0.844062000000001,はこびます@4
l19,24,38.902938,39.687562,0.7846240000000009,なくします@4
l19,25,40.505688,41.333937,0.8282489999999996,おとします@4
l19,26,41.934063,42.442125,0.5080619999999954,おきます@3
l19,27,43.303938,43.885938,0.5820000000000007,はらいます@4
l19,28,44.694063,45.188625,0.49456200000000194,たちます@3
l19,29,46.064062,46.930312,0.8662500000000009,わすれます@4
l19,30,47.472375,48.1965,0.7241250000000008,あわてます@4
l19,31,49.028063,49.741312,0.7132489999999976,すてます@3
l19,32,50.817125,51.886812,1.0696870000000018,ざんぎょうします@6
l19,33,52.542813,53.761875,1.219062000000001,しんぱいします@6
l19,34,54.569313,55.2905,0.7211870000000005,ほんとう@0
l19,35,56.004625,57.940375,1.9357500000000059,はやく@1
l19,36,58.563437,59.146563,0.583126,やっと@0
l19,37,60.1805,60.781438,0.6009379999999993,だいぶ@0
l19,38,61.572875,62.20775,0.6348749999999939,はじめて@2
l19,39,63.075125,63.698625,0.6234999999999999,さきに@0
