okey,idx,start_sec,end_sec,duration_sec,kana
l12,1,1.262188,1.85325,0.591062,きせつ@1
l12,2,3.007188,3.316125,0.3089369999999998,ふゆ@2
l12,3,4.336437,4.684813,0.348376,はる@1
l12,4,5.704937,6.611313,0.9063759999999998,にほんりょうり@5
l12,5,7.973688,8.497312,0.5236240000000008,すし@2
l12,6,9.491625,10.01075,0.519124999999999,ナシ@2
l12,7,11.017812,11.59375,0.5759380000000007,バナナ@1
l12,8,12.554562,13.034,0.47943800000000003,ミカン@1
l12,9,14.089688,14.979875,0.8901869999999992,しょうちゅう@3
l12,10,15.721563,16.517187,0.7956240000000001,にほんしゅ@0
l12,11,17.33975,17.963,0.6232500000000023,こうちゃ@0
l12,12,18.834437,19.6645,0.8300629999999991,ウーロンちゃ@3
l12,13,20.520187,21.371,0.8508129999999987,ジャスミンちゃ@3
l12,14,22.20375,22.873812,0.6700620000000015,りょくちゃ@0
l12,15,23.50825,24.220437,0.7121870000000001,ジュース@1
l12,16,25.01025,25.634438,0.6241880000000002,にんき@0
l12,17,26.210375,26.655687,0.44531200000000126,せき@1
l12,18,27.652625,28.19825,0.5456250000000011,クラス@1
l12,19,29.7915,30.420813,0.6293129999999998,しゅるい@1
l12,20,31.269687,31.543875,0.27418799999999877,せ@1
l12,21,32.468938,32.871187,0.40224899999999764,あに@1
l12,22,33.828063,34.538438,0.7103749999999991,さいきん@0
l12,23,35.23625,35.994125,0.7578749999999985,ふります@3
l12,24,36.582687,37.1405,0.557813000000003,わかい@2
l12,25,37.983187,38.735438,0.7522510000000011,あたたかい@4
l12,26,39.555125,40.328812,0.7736870000000025,すずしい@3
l12,27,40.869563,41.431438,0.5618750000000006,はやい@2
l12,28,42.1335,42.840938,0.7074380000000033,だいすき@1
l12,29,43.598875,45.804437,2.2055620000000005,いちばん@0
l12,30,46.61575,48.317687,1.701937000000001,ずっと@0
l12,31,48.708438,48.995812,0.2873739999999998,やはり@2
l12,32,50.028375,50.757312,0.728937000000002,やっぱり@2
l12,33,52.708688,53.72825,1.0195620000000005,チョモランマ@3
l12,34,55.445438,56.098875,0.6534369999999967,にんきがあります@7
