okey,idx,start_sec,end_sec,duration_sec,kana
l39,1,0.674966,1.104853,0.42988700000000013,むら@2
l39,2,2.286122,2.616644,0.33052199999999976,いね@1
l39,3,3.585442,3.996689,0.4112469999999999,きり@0
l39,4,5.017052,5.374376,0.3573240000000002,もん@1
l39,5,6.595011,7.150159,0.555148,ぶたい@1
l39,6,7.922268,8.320272,0.39800399999999936,やね@1
l39,7,9.426667,10.322993,0.8963260000000002,るりがわら@3
l39,8,11.332517,11.887438,0.5549210000000002,きいろ@0
l39,9,12.918005,15.049887,2.131881999999999,そら@1
l39,10,16.431519,18.413696,1.982177,バック@1
l39,11,18.729206,19.013832,0.2846259999999994,かしきり@0
l39,12,20.093832,20.502132,0.40830000000000055,いっぱん@0
l39,13,21.833469,22.674558,0.8410890000000002,そぼ@1
l39,14,24.014376,24.563447,0.5490710000000014,おんがくかい@3
l39,15,25.953787,27.263039,1.3092520000000007,ジャズ@1
l39,16,28.475692,29.265578,0.7898860000000028,やがいコンサート@4
l39,17,30.317143,31.055918,0.7387749999999969,えんだか@0
l39,18,32.17161,33.048481,0.8768710000000013,ゆしゅつ@0
l39,19,33.811474,34.381723,0.570249000000004,えいきょう@0
l39,20,35.571837,36.327891,0.7560539999999989,しげん@1
l39,21,37.466349,38.006893,0.540543999999997,きおん@0
l39,22,39.501088,40.291474,0.790385999999998,おき@0
l39,23,41.438231,41.975193,0.5369619999999955,かいがい@1
l39,24,43.453878,43.893469,0.43959100000000007,クジラ@0
l39,25,45.180091,45.923311,0.7432200000000009,サメ@0
l39,26,47.148753,47.863537,0.7147840000000016,ユーフォー@1
l39,27,49.114104,49.917324,0.8032200000000032,むかし@0
l39,28,51.186531,51.543628,0.357096999999996,べつめい@0
l39,29,53.081224,54.14517,1.0639460000000014,ほう@1
l39,30,55.653787,56.839501,1.1857139999999973,どうろこうじ@4
l39,31,58.48585,59.781905,1.2960550000000026,つうきんラッシュ@5
l39,32,61.416553,62.116054,0.6995009999999979,つうこうきんし@0
l39,33,63.236372,64.316871,1.0804990000000032,とおく@3
l39,34,65.518912,66.531293,1.0123810000000049,みわたします@5
l39,35,67.525079,68.561497,1.0364179999999976,つづきます@4
l39,36,69.34839,70.341633,0.9932430000000068,なくなります@5
l39,37,71.27678,72.070385,0.7936049999999994,そだちます@4
l39,38,72.97932,73.779274,0.7999539999999996,ふえます@3
l39,39,74.713878,75.865261,1.1513830000000098,つれます@3
l39,40,76.787982,78.023265,1.2352829999999955,けっせきします@6
l39,41,78.810204,79.641406,0.8312020000000047,ゆにゅうします@5
l39,42,80.979002,81.834104,0.8551020000000022,せっかく@0
l39,43,83.177279,83.819365,0.6420860000000062,ぜったい@0
l39,44,85.185578,86.168481,0.9829029999999932,そう@1そう@1
l39,45,87.427075,88.11424,0.6871649999999931,しきんじょう@2
