okey,idx,start_sec,end_sec,duration_sec,kana
l31,1,0.886213,1.53424,0.648027,ボタン@0
l31,2,2.747029,3.405034,0.6580050000000002,ブローチ@2
l31,3,4.643628,5.351429,0.7078010000000008,カーテン@1
l31,4,6.490204,7.398821,0.9086169999999996,コンクリート@4
l31,5,9.250249,10.143628,0.8933789999999995,プラスチック@4
l31,6,11.794603,12.243447,0.44884399999999935,ひすい@0
l31,7,14.066077,15.194195,1.1281180000000006,サービスセンター@5
l31,8,16.633515,17.323583,0.6900680000000001,かいいん@0
l31,9,19.041179,19.771973,0.7307939999999995,とくてん@0
l31,10,21.205034,21.859773,0.6547389999999993,おてあらい@3
l31,11,23.513197,24.182132,0.6689349999999976,かいだん@0
l31,12,25.710884,26.200998,0.4901139999999984,いこう@1
l31,13,28.130703,29.178277,1.047574000000001,そば@1
l31,14,30.150612,31.102177,0.9515650000000022,たっきゅうだい@0
l31,15,33.071519,33.581542,0.5100229999999968,サイズ@1
l31,16,34.968163,35.654331,0.6861680000000021,にんげん@0
l31,17,37.455828,38.185714,0.7298860000000005,はくちょう@0
l31,18,39.57424,40.267347,0.6931069999999977,でんげん@0
l31,19,42.153243,42.767029,0.6137859999999975,スイカ@0
l31,20,44.640862,45.326757,0.6858950000000021,おします@3
l31,21,47.308617,48.015964,0.7073469999999986,つきます@3
l31,22,49.419365,50.115057,0.6956920000000011,さがります@4
l31,23,52.021043,52.860136,0.8390929999999983,おこります@4
l31,24,54.514649,55.352109,0.8374600000000001,まわします@4
l31,25,57.05161,57.944671,0.893061000000003,うごきます@4
l31,26,59.3278,60.008299,0.6804989999999975,いきます@3
l31,27,61.79941,62.556236,0.7568259999999967,おります@3
l31,28,63.872336,64.770658,0.8983220000000003,フリーズします@6
l31,29,66.606168,67.722358,1.1161900000000031,こしょうします@3
l31,30,69.104898,70.009116,0.9042180000000002,うつくしい@4
l31,31,71.600726,72.376916,0.7761899999999997,うまい@2
l31,32,74.137143,74.570431,0.43328800000000456,くわしい@3
l31,33,76.421859,77.156689,0.7348300000000023,じゆう@2
l31,34,78.782993,79.388934,0.6059410000000014,ていねい@1
l31,35,81.408707,81.99102,0.5823129999999992,きちんと@2
l31,36,83.596508,84.312971,0.7164630000000045,ただし@1
l31,37,86.447438,87.002993,0.5555549999999982,しかし@2
l31,38,88.555057,89.144807,0.5897499999999951,きもちわるい@5
l31,39,90.792608,91.736689,0.9440809999999971,
l31,40,93.206848,93.861088,0.6542400000000015,
l31,41,94.759002,95.136689,0.37768700000000877,
