okey,idx,start_sec,end_sec,duration_sec,kana
l40,1,0.601723,1.52449,0.9227669999999999,モノレール@3
l40,2,2.521451,3.048889,0.5274380000000001,オイル@1
l40,3,3.982494,4.65161,0.6691159999999998,ダンス@1
l40,4,5.428844,5.93161,0.5027660000000003,じだい@0
l40,5,7.268435,7.920272,0.6518369999999996,やくしゃ@0
l40,6,8.778458,9.387392,0.6089339999999996,むすめ@3
l40,7,10.609524,11.239546,0.6300220000000003,こいぬ@0
l40,8,12.326893,13.207755,0.8808620000000005,げきじょう@0
l40,9,14.492517,15.296145,0.8036279999999998,ししゃかい@2
l40,10,16.134649,16.608753,0.4741040000000005,みみ@2
l40,11,17.727166,18.12898,0.4018139999999981,おく@1
l40,12,19.257098,19.800816,0.5437180000000019,きげん@0
l40,13,21.169025,22.012789,0.8437640000000002,せんじつ@0
l40,14,22.888163,23.639501,0.7513380000000005,コピーき@2
l40,15,24.891927,25.361043,0.46911599999999964,けん@1
l40,16,26.61746,27.627574,1.010113999999998,さいしゅうびん@0
l40,17,28.810476,29.786803,0.9763269999999977,にゅうじょうけん@3
l40,18,30.778685,31.680771,0.9020860000000006,しょうたいけん@3
l40,19,33.041361,34.051565,1.0102039999999946,かいすうけん@3
l40,20,35.020907,35.854603,0.8336959999999962,むかいます@4
l40,21,37.06712,38.092381,1.0252610000000004,そろえます@4
l40,22,38.947891,39.74771,0.7998189999999994,もれます@3
l40,23,40.764807,42.046077,1.2812699999999992,まとめます@4
l40,24,42.949524,44.10449,1.1549660000000017,かいつうします@6
l40,25,44.787438,45.91941,1.1319719999999975,かいちくします@6
l40,26,46.72059,47.799637,1.0790469999999956,かんせいします@6
l40,27,48.736327,49.211474,0.47514699999999976,にゅうしゃします@5
l40,28,50.463492,51.488254,1.0247619999999955,しん@1
