okey,idx,start_sec,end_sec,duration_sec,kana
l22,1,0.911938,1.946063,1.034125,スキーじょう@0
l22,2,2.977813,3.8755,0.8976870000000003,そうべつかい@4
l22,3,4.7555,5.402,0.6465000000000005,つごう@0
l22,4,6.149312,6.780438,0.6311260000000001,よてい@0
l22,5,7.5275,8.087188,0.5596879999999995,おもちゃ@2
l22,6,8.995125,9.36575,0.3706250000000004,かじ@1
l22,7,10.438438,10.91975,0.48131200000000085,きかん@1
l22,8,11.89925,12.613437,0.714186999999999,てんきん@0
l22,9,13.42875,14.234188,0.8054379999999988,けいたい@0
l22,10,15.095562,16.015812,0.9202500000000011,バドミントン@3
l22,11,17.286625,18.048,0.7613749999999975,ラケット@2
l22,12,19.1,19.636813,0.5368129999999987,おくさん@1
l22,13,20.788563,21.218375,0.42981200000000186,かしゅ@1
l22,14,22.424688,23.323375,0.8986869999999989,だいとうりょう@3
l22,15,24.343875,24.947875,0.6039999999999992,やります@3
l22,16,25.971937,26.576875,0.6049380000000006,うれしい@3
l22,17,27.934875,28.580188,0.645312999999998,ねむい@0
l22,18,29.541375,30.0405,0.4991250000000029,おもい@0
l22,19,31.523813,32.01825,0.49443700000000135,きゅう@0
l22,20,33.388125,34.069625,0.6814999999999998,まあまあ@3
l22,21,35.2005,35.945687,0.7451870000000014,あんまり@0
l22,22,36.832937,37.279875,0.44693799999999584,ごめん@2
l22,23,38.251125,38.707188,0.45606300000000033,う@1うん@0 ∕ いや@0
l22,24,40.109813,42.274062,2.164248999999998,うん@1
l22,25,43.740563,44.296125,0.5555620000000019,しみず@1
l22,26,45.608,46.11775,0.5097500000000039,おおた@0
l22,27,47.26275,48.003125,0.7403750000000002,モーツァルト@1
l22,28,49.267688,50.260688,0.9930000000000021,ディズニーランド@5
l22,29,52.040188,52.549688,0.5095000000000027,
l22,30,53.554625,53.950313,0.3956879999999998,
