okey,idx,start_sec,end_sec,duration_sec,kana
l47,1,0.564082,1.145941,0.5818590000000001,したみ@0
l47,2,2.071746,2.74458,0.6728339999999999,スタッフ@2
l47,3,3.800408,4.616553,0.8161449999999997,おこさん@0
l47,4,5.421542,6.517324,1.0957820000000007,めしあがります@6
l47,5,7.452018,8.748345,1.2963270000000007,ごらんになります@7
l47,6,9.38576,10.254512,0.8687520000000006,おっしゃいます@5
l47,7,11.187438,12.227574,1.0401360000000004,いらっしゃいます@6
l47,8,12.990431,14.072698,1.0822670000000016,おいでになります@7
l47,9,15.074966,15.853696,0.7787299999999995,なさいます@4
l47,10,16.875692,17.858458,0.982765999999998,くださいます@5
l47,11,18.853333,19.830658,0.9773250000000004,チェックインします@4
l47,12,20.762132,21.866213,1.1040809999999972,ちょっこうします@6
l47,13,22.742676,23.593696,0.8510200000000019,さきほど@0
l47,14,24.33483,24.876735,0.5419049999999999,きむら@0
l47,15,25.846621,26.329433,0.4828120000000027,こう@1
l47,16,27.028345,28.196236,1.1678909999999973,ペキンくうこう@4
l47,17,28.878413,29.6761,0.7976870000000034,ごぞんじです@2
