okey,idx,start_sec,end_sec,duration_sec,kana
l4,1,0.877812,1.324812,0.44700000000000006,へや@2
l4,2,2.151125,2.628625,0.47750000000000004,にわ@0
l4,3,3.437188,3.871,0.4338120000000001,いえ@2
l4,4,4.707688,5.118375,0.41068700000000025,いま@2
l4,5,6.184188,6.993313,0.8091249999999999,れいぞうこ@3
l4,6,7.812688,8.213437,0.40074900000000113,かべ@0
l4,7,9.249875,10.035938,0.7860630000000004,スイッチ@2
l4,8,11.035438,13.285438,2.25,ほんだな@1
l4,9,14.211562,14.582063,0.3705009999999991,ベッド@1
l4,10,15.605375,15.993875,0.38849999999999874,ねこ@1
l4,11,17.026438,17.472625,0.4461870000000019,いぬ@2
l4,12,18.331563,18.9045,0.5729369999999996,はこ@0
l4,13,19.978,21.71025,1.732249999999997,めがね@1
l4,14,22.00425,22.832375,0.828125,ビデオ@1
l4,15,23.948313,24.403063,0.45475000000000065,サッカーボール@5
l4,16,25.891625,26.708813,0.817187999999998,ビール@1
l4,17,27.6145,28.191375,0.5768750000000011,ウイスキー@3
l4,18,29.633688,30.293813,0.6601250000000007,こども@0
l4,19,31.358563,31.949313,0.5907499999999999,きょうだい@1
l4,20,33.11525,33.904125,0.7888749999999973,りょうしん@1
l4,21,34.984813,35.570687,0.5858739999999969,いもうと@0
l4,22,36.780437,37.3395,0.5590630000000019,おとこ@3
l4,23,38.52,39.014187,0.4941869999999966,おんな@3
l4,24,40.295437,40.674188,0.37875100000000117,せいと@1
l4,25,41.77025,42.0885,0.31825000000000614,うえ@0
l4,26,43.2145,43.637375,0.42287499999999767,そと@1
l4,27,44.465,44.832375,0.36737499999999557,なか@1
l4,28,45.918813,46.354625,0.43581199999999853,した@0
l4,29,47.229,47.782625,0.5536250000000038,まえ@1
l4,30,48.78075,49.369813,0.589063000000003,うしろ@0
l4,31,50.236063,50.692062,0.4559989999999985,ちかく@1
l4,32,51.814813,52.568,0.7531869999999969,ばしょ@0
l4,33,53.502813,54.287375,0.784561999999994,きょうしつ@0
l4,34,55.412063,56.12875,0.7166869999999932,かいぎしつ@3
l4,35,57.240938,57.825063,0.5841250000000002,としょしつ@2
l4,36,59.217937,59.72,0.5020629999999997,こうえん@0
l4,37,60.714688,61.406063,0.6913750000000007,はなや@2
l4,38,62.299688,62.746938,0.4472499999999968,ばいてん@0
l4,39,63.699938,65.930312,2.2303739999999976,えき@1
l4,40,67.046,67.999875,0.9538749999999965,ちかてつ@0
l4,41,69.068313,69.713875,0.6455619999999982,き@1
l4,42,70.535375,71.015187,0.47981199999999546,ひとりぐらし@4
l4,43,72.26925,73.040875,0.7716250000000002,あります@3
l4,44,74.039187,74.758125,0.7189380000000085,います@2
l4,45,75.560438,76.200375,0.6399369999999891,ええと@0
l4,46,76.971,77.647375,0.6763749999999931,よこはま@0
l4,47,79.261063,80.158938,0.8978750000000133,なごや@1
l4,48,81.3925,81.688688,0.2961880000000008,おおさか@0
