okey,idx,start_sec,end_sec,duration_sec,kana
m1,1,0.412438,1.12,0.707562,であい@0
m1,2,2.268937,3.2475,0.9785629999999998,たすかる@3
m1,3,4.764563,5.383438,0.6188750000000001,すっかり@3
m1,4,6.437812,8.335375,1.8975630000000008,まち@2
m1,5,8.599875,8.877,0.27712499999999984,へんか@1
m1,6,10.007938,10.556125,0.5481870000000004,ついていく@1
m1,7,11.831188,12.37825,0.5470620000000004,こうそう@0
m1,8,13.800937,14.756125,0.9551880000000015,こうそうピル@5
m1,9,15.8935,16.755625,0.8621249999999989,へん@0
m1,10,18.067375,19.10975,1.0423749999999998,ニューヨーク@3
m1,11,20.30825,20.6505,0.34224999999999994,しつれいですが@2
m1,12,21.822688,22.706875,0.8841870000000007,かんじがします@6
m1,13,23.675563,24.63975,0.964186999999999,てんきんになる@6
m1,14,25.45375,26.635313,1.1815630000000006,ちょっと@1
m1,15,27.657563,28.746875,1.0893119999999996,おじさん@0
m1,16,29.854,30.750187,0.8961870000000012,おねえさん@2
m1,17,31.965937,33.510688,1.5447510000000015,じどうドア@4
m1,18,34.577188,35.154125,0.5769370000000009,めざましどけい@5
m1,19,36.440812,37.186312,0.7454999999999998,おとうさん@2
m1,20,38.487375,39.2845,0.7971250000000012,ふしぎ@0
m1,21,40.86525,41.741438,0.8761879999999991,えきべん@0
m1,22,43.0935,44.322625,1.2291250000000034,あめ@0
m1,23,45.656375,46.513375,0.8570000000000064,なめる@2
m1,24,47.692563,48.323438,0.6308750000000032,ちゅうがっこう@3
m1,25,49.824375,50.622937,0.7985619999999969,テスト@1
m1,26,51.77975,52.18775,0.40800000000000125,なみだ@1
m1,27,53.293688,53.938563,0.644874999999999,しゅと@1
m1,28,54.99625,56.161563,1.1653129999999976,きゅうきゅうしゃ@3
m1,29,57.097813,57.72925,0.6314369999999982,ふた@0
m1,30,58.874625,59.47875,0.6041249999999962,ひろげる@0
m1,31,60.487875,60.952125,0.46424999999999983,わく@0
m1,32,62.176375,63.029812,0.8534369999999996,わかす@0
m1,33,63.95075,64.598562,0.6478120000000018,タオル@1
m1,34,65.737188,66.166,0.42881199999999353,かわかす@3
m1,35,67.151625,67.977438,0.8258130000000108,シャンハイほけん@5
m1,36,68.9075,69.459937,0.5524369999999976,おおかわ@1
m1,37,70.25375,70.999063,0.7453130000000101,スペインたいしかん@7
m1,38,71.833188,72.309062,0.47587399999999036,シャンハイコンス@5
m1,39,73.1965,74.086438,0.8899380000000008,アフリカ@0
m1,40,75.012812,76.149062,1.136250000000004,ながさき@2
m1,41,77.092438,77.790125,0.697687000000002,ぼくじょう@0
m1,42,79.084,80.359938,1.2759379999999965,あたり@1
m1,43,81.792875,82.986563,1.1936880000000087,してつ@0
m1,44,83.912625,84.704313,0.7916879999999935,こうえい@0
m1,45,85.5395,86.333875,0.7943750000000023,ジャパンレールウェイズ@7
m1,46,87.331,88.271313,0.9403130000000033,りゃく@1
m1,47,89.151938,89.701,0.5490619999999922,こくえい@0
m1,48,90.64525,91.70725,1.0619999999999976,みんえい@0
m1,49,92.468375,93.154625,0.6862500000000011,ろせん@0
m1,50,94.172313,94.907375,0.7350619999999992,しゅよう@0
m1,51,95.834125,97.214813,1.3806880000000064,とし@1
m1,52,98.506938,98.973125,0.4661869999999908,じそく@0
m1,53,99.78975,100.51525,0.7254999999999967,とうかいどう@3
m1,54,101.335875,102.198688,0.8628130000000027,さんよう@0
m1,55,102.9445,103.493063,0.5485630000000015,とうほく@0
m1,56,104.330125,105.134,0.803875000000005,きゅうしゅう@1
m1,57,105.92925,106.325625,0.39637500000000614,のびる@2
m1,58,107.231125,107.962125,0.7309999999999945,みんかん@0
m1,59,108.93925,109.953625,1.0143750000000011,けいえいする@0
m1,60,110.982875,111.80325,0.8203749999999985,また@0
m1,61,112.61375,113.3785,0.7647500000000065,ちほうじちたい@5
m1,62,114.141063,114.995188,0.8541249999999962,じつよう@0
m1,63,115.861187,116.404625,0.5434379999999948,うんこう@0
m1,64,117.375938,118.194313,0.818374999999989,ほうこう@0
m1,65,119.14425,120.210375,1.0661249999999995,あらわす@3
m1,66,120.749875,121.23925,0.48937499999999545,のぼり@0
m1,67,122.163688,123.26475,1.101062000000013,くだり@0
m1,68,124.081938,124.979625,0.8976870000000048,ほんしゅう@1
m1,69,125.855375,126.7295,0.8741250000000065,ちほう@2
m1,70,127.38825,128.369625,0.9813750000000141,ほうめん@3
m1,71,129.366437,130.06825,0.7018130000000156,こんな@0
m1,72,130.671,131.381188,0.7101880000000165,なぞなぞ@0
m1,73,132.12275,132.77275,0.6500000000000057,こたえ@2
m1,74,133.481313,134.356875,0.8755620000000022,～しゅるい
m1,75,135.336938,135.856063,0.5191250000000025,～か
m1,76,137.117875,137.86425,0.7463750000000005,～てき
m1,77,138.611938,139.256937,0.6449989999999843,～だい
m1,78,140.05175,140.939687,0.8879369999999938,～おお
m1,79,141.705375,142.280812,0.5754369999999938,～かく
m1,80,143.003,143.518188,0.5151880000000233,ゴンバオシャーレン@1
m1,81,144.252438,144.543813,0.29137499999998795,エビ@0
m1,82,145.241312,145.697063,0.45575100000002067,ビーナッツ@1
m1,83,146.562875,146.891,0.328125,とうがらし@3
m1,84,147.825312,148.204313,0.3790010000000166,いためる@3
m1,85,149.218125,149.632812,0.4146870000000149,おせちりょうり@4
m1,86,150.827875,151.833937,1.0060619999999858,しょうがつ@4
m1,87,153.29925,154.6875,1.3882499999999993,おいわい@0
m1,88,155.966875,157.25925,1.2923750000000211,こううん@0
m1,89,158.387063,158.799937,0.412873999999988,おとずれる@4
m1,90,159.834125,160.6745,0.8403749999999945,そだてる@3
m1,91,161.767188,162.725188,0.9579999999999984,こくさい@0
m1,92,163.90375,164.531937,0.6281869999999969,しょうきょくてき@0
m1,93,165.41275,166.464,1.0512500000000102,せっきょくてき@0
m1,94,167.598187,168.456437,0.8582499999999982,ちゅうしょうてき@0
m1,95,169.434937,170.155875,0.7209380000000181,アジア@1
m1,96,171.186438,171.945188,0.758749999999992,ひも@0
m1,97,172.874313,173.796,0.9216869999999915,おもいで@0
m1,98,174.629,175.306125,0.677125000000018,かせき@0
m1,99,176.091375,176.914437,0.8230619999999931,げんだい@1
m1,100,177.873312,178.952812,1.079499999999996,じけん@1
m1,101,179.946313,180.955875,1.0095619999999883,かねもち@3
m1,102,181.923563,183.059125,1.135561999999993,しんぽ@1
m1,103,184.080312,184.612562,0.5322500000000048,かんげき@0
m1,104,185.474187,185.869438,0.3952510000000018,きんだい@1
m1,105,186.690687,187.42325,0.732562999999999,でんし@1
m1,106,188.228375,188.884563,0.6561880000000144,こうれい@0
m1,107,189.48825,190.331,0.8427499999999952,デジタル@1
m1,108,191.306375,191.851313,0.5449380000000019,アイティー@3
m1,109,192.880812,193.65825,0.7774380000000178,けんせつする@0
m1,110,194.75625,195.357875,0.6016250000000127,のぼる@0
m1,111,196.197875,196.980938,0.7830629999999985,くだる@0
m1,112,197.928125,198.52825,0.6001250000000198,つうこうどめ@0
m1,113,199.547812,200.259813,0.712001000000015,このような@3
m1,114,201.344625,202.122125,0.7775000000000034,これら@2
m1,115,202.791,203.579875,0.7888749999999902,ひみつ@0
m1,116,204.7685,205.468063,0.6995630000000119,こくさいれんごう@5
m1,117,206.518375,207.583937,1.065562,こくれん@0
m1,118,208.400563,209.041625,0.6410620000000051,ぜんこく@1じんみんだいひょうたいかい@9
m1,119,209.611875,210.242562,0.6306869999999947,ぜんじんだい@3
m1,120,211.077562,212.23075,1.153188,ダブリューティーオー@7
m1,121,212.987813,213.865875,0.8780619999999999,せかいぼうえききかん@8
m1,122,214.620125,215.110062,0.4899369999999976,レール@0
m1,123,215.733625,216.447937,0.7143120000000067,とく@1
m1,124,217.54125,218.213313,0.6720630000000085,けっさく@0
m1,125,219.302312,220.621062,1.3187499999999943,すぐれる@3
m1,126,221.571313,222.251125,0.6798119999999983,うんが@1
m1,127,223.4255,225.964313,2.5388130000000046,こうしゅう@1
m1,128,226.790312,227.836187,1.0458749999999952,ながれる@3
m1,129,228.693813,230.025188,1.3313750000000084,レジャー@1
m1,130,231.043313,232.769,1.7256869999999935,でんとう@0
m1,131,233.478938,234.08975,0.6108120000000099,げいのう@0
m1,132,235.03525,235.458562,0.4233120000000099,よさん@1
m1,133,236.40225,237.19875,0.7964999999999804,こうか@1
m1,134,238.210813,239.027438,0.8166249999999877,きょうそう@0
m1,135,239.81075,240.331375,0.5206249999999955,ほんかく@0
m1,136,241.13975,241.9855,0.8457500000000095,ぶんぼうぐ@3
m1,137,242.840625,243.52375,0.6831250000000182,コショウ@2
m1,138,244.491938,245.2365,0.744562000000002,ちょうみりょう@3
m1,139,246.237,247.168563,0.9315630000000112,かんきょうほご@5
m1,140,248.037375,249.0325,0.9951250000000016,ちゅうもくする@0
m1,141,250.02,250.507375,0.4873749999999859,かつどう@0
m1,142,251.360375,251.97575,0.6153750000000002,つうしんしゅだん@5
m1,143,252.679125,253.5625,0.8833750000000009,かもく@0
